#Velocity(km/s)	FluxDensity(Jy)
-424.952	3.453
-423.894	5.317
-422.836	-0.945
-421.778	9.183
-420.719	4.352
-419.661	5.204
-418.603	2.676
-417.544	1.451
-416.486	5.013
-415.428	2.056
-414.369	3.187
-413.311	2.134
-412.253	4.229
-411.194	0.932
-410.136	0.661
-409.078	3.825
-408.020	0.381
-406.961	4.124
-405.903	0.565
-404.845	-1.313
-403.786	-2.037
-402.728	3.807
-401.670	6.678
-400.611	-3.595
-399.553	3.442
-398.495	-1.563
-397.437	1.476
-396.378	1.198
-395.320	-3.859
-394.262	-0.733
-393.203	-2.035
-392.145	-3.871
-391.087	0.851
-390.028	1.834
-388.970	-0.649
-387.912	1.170
-386.853	1.777
-385.795	2.082
-384.737	3.178
-383.679	1.312
-382.620	2.041
-381.562	-1.543
-380.504	-1.263
-379.445	-2.207
-378.387	-2.890
-377.329	-3.446
-376.270	2.473
-375.212	-0.598
-374.154	4.310
-373.096	2.456
-372.037	-1.406
-370.979	0.611
-369.921	-0.326
-368.862	-0.295
-367.804	-4.790
-366.746	0.817
-365.687	-0.505
-364.629	2.212
-363.571	3.675
-362.512	7.049
-361.454	-4.972
-360.396	0.824
-359.338	-3.402
-358.279	-0.554
-357.221	0.216
-356.163	0.975
-355.104	-0.879
-354.046	1.651
-352.988	3.127
-351.929	-1.003
-350.871	-1.345
-349.813	-0.145
-348.755	2.093
-347.696	-4.279
-346.638	-7.009
-345.580	-0.175
-344.521	2.295
-343.463	2.725
-342.405	0.669
-341.346	-3.431
-340.288	4.535
-339.230	-0.846
-338.171	-2.009
-337.113	-5.998
-336.055	-3.485
-334.997	1.555
-333.938	-4.132
-332.880	-0.027
-331.822	1.981
-330.763	-3.757
-329.705	0.904
-328.647	1.868
-327.588	2.660
-326.530	-0.152
-325.472	-0.477
-324.414	2.089
-323.355	-6.959
-322.297	-2.139
-321.239	2.168
-320.180	-2.253
-319.122	-4.404
-318.064	0.158
-317.005	-2.276
-315.947	-2.907
-314.889	-3.025
-313.830	-1.526
-312.772	-1.041
-311.714	-1.531
-310.656	-0.639
-309.597	2.886
-308.539	2.680
-307.481	-0.450
-306.422	-1.315
-305.364	-5.383
-304.306	0.549
-303.247	-1.586
-302.189	-4.343
-301.131	-2.933
-300.072	-3.032
-299.014	-0.354
-297.956	-3.794
-296.898	-2.464
-295.839	0.781
-294.781	-1.568
-293.723	-0.687
-292.664	-2.889
-291.606	-1.533
-290.548	2.878
-289.489	1.884
