#Velocity(km/s)	Temperature(K)
332.650	-0.246
331.698	-0.142
330.745	-0.072
329.793	-0.033
328.840	-0.076
327.887	-0.078
326.935	-0.093
325.982	0.114
325.030	-0.084
324.077	-0.114
323.125	0.140
322.172	0.160
321.220	-0.052
320.267	0.016
319.315	-0.052
318.362	0.127
317.410	-0.038
316.457	0.131
315.505	0.071
314.552	-0.030
313.600	0.018
312.647	0.061
311.695	0.095
310.742	0.016
309.790	0.131
308.837	0.056
307.885	-0.022
306.932	0.070
305.980	0.039
305.027	0.139
304.075	0.078
303.122	0.053
302.169	-0.010
301.217	-0.078
300.264	0.069
299.312	0.142
298.359	-0.004
297.407	0.007
296.454	0.137
295.502	-0.012
294.549	0.012
293.597	0.103
292.644	0.071
291.692	-0.062
290.739	0.134
289.787	0.087
288.834	-0.057
287.882	-0.185
286.929	0.067
285.977	0.135
285.024	-0.060
284.072	-0.058
283.119	0.055
282.167	0.101
281.214	-0.032
280.262	0.140
279.309	0.041
278.357	-0.013
277.404	-0.045
276.451	-0.021
275.499	-0.027
274.546	-0.052
273.594	0.006
272.641	-0.091
271.689	0.056
270.736	-0.000
269.784	0.014
268.831	-0.013
267.879	-0.011
266.926	-0.042
265.974	-0.005
265.021	-0.023
264.069	-0.002
263.116	0.063
262.164	-0.005
261.211	-0.041
260.259	-0.047
259.306	0.021
258.354	-0.114
257.401	-0.201
256.449	-0.130
255.496	-0.203
254.544	-0.080
253.591	-0.036
252.639	-0.122
251.686	0.001
250.733	-0.144
249.781	-0.019
248.828	-0.101
247.876	-0.044
246.923	-0.124
245.971	0.028
245.018	-0.107
244.066	-0.172
243.113	-0.031
242.161	-0.031
241.208	-0.068
240.256	-0.114
239.303	-0.024
238.351	-0.116
237.398	-0.031
236.446	-0.088
235.493	-0.021
234.541	-0.014
233.588	0.117
232.636	0.004
231.683	0.062
230.731	-0.072
229.778	-0.009
228.826	-0.104
227.873	0.041
226.921	0.002
225.968	0.082
225.015	0.044
224.063	0.141
223.110	-0.039
222.158	-0.039
221.205	-0.010
220.253	-0.024
219.300	0.038
218.348	-0.046
217.395	0.074
216.443	-0.004
215.490	0.034
214.538	0.066
213.585	0.127
212.633	-0.050
211.680	0.111
210.728	0.071
209.775	0.056
208.823	-0.098
207.870	0.034
206.918	0.172
205.965	0.067
205.013	0.095
204.060	-0.024
203.108	0.032
202.155	-0.086
201.203	0.033
200.250	0.093
199.297	-0.022
198.345	0.081
197.392	0.051
196.440	-0.058
195.487	-0.038
194.535	-0.033
193.582	-0.053
192.630	0.028
191.677	0.020
190.725	-0.010
189.772	-0.244
188.820	0.021
187.867	-0.029
186.915	-0.106
185.962	0.093
185.010	0.060
184.057	0.096
183.105	-0.101
182.152	-0.087
181.200	0.039
180.247	-0.038
179.295	0.000
178.342	0.087
177.390	-0.015
176.437	-0.068
175.485	-0.172
174.532	0.082
173.579	0.055
172.627	-0.160
171.674	0.088
170.722	0.104
169.769	0.130
168.817	-0.041
167.864	0.013
166.912	0.202
165.959	-0.002
165.007	0.045
164.054	-0.152
163.102	-0.141
162.149	-0.140
161.197	-0.022
160.244	0.034
159.292	0.060
158.339	0.039
157.387	-0.111
156.434	0.091
155.482	0.023
154.529	-0.018
153.577	-0.016
152.624	0.039
151.672	-0.088
150.719	0.120
149.767	0.167
148.814	0.009
147.861	0.043
146.909	0.058
145.956	0.063
145.004	0.008
144.051	0.103
143.099	0.168
142.146	0.112
141.194	0.067
140.241	-0.045
139.289	0.157
138.336	0.137
137.384	0.060
136.431	-0.012
135.479	0.223
134.526	-0.068
133.574	0.162
132.621	0.005
131.669	0.030
130.716	0.097
129.764	0.045
128.811	0.102
127.859	0.000
126.906	0.152
125.954	0.067
125.001	0.007
124.049	0.027
123.096	-0.117
122.143	0.231
121.191	0.037
120.238	0.095
119.286	0.151
118.333	0.033
117.381	0.045
116.428	-0.045
115.476	-0.007
114.523	0.054
113.571	0.017
112.618	0.026
111.666	0.067
110.713	0.028
109.761	0.060
108.808	0.112
107.856	-0.059
106.903	0.115
105.951	-0.102
104.998	0.013
104.046	0.105
103.093	0.100
